taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1416801	Monopsyllus sciurorum (Schrank, 1803)	1416801	Monopsyllus sciurorum (Schrank, 1803)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Monopsyllus	1416800	Monopsyllus sciurorum	1416801	
1418651	Phalacropsylla allos Wagner, 1936	1418651	Phalacropsylla allos Wagner, 1936	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Phalacropsylla	1418646	Phalacropsylla allos	1418651	
1419750	Papuapsylla hollandi Mardon, 1976	1419750	Papuapsylla hollandi Mardon, 1976	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Stivaliidae	5331	Papuapsylla	1419734	Papuapsylla hollandi	1419750	
4770148	Euctenophthalmus Wagner, 1940	4770148	Euctenophthalmus Wagner, 1940	2	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ctenophthalmidae	3259516	Euctenophthalmus	4770148			
1416943	Mioctenopsylla traubi Holland & Jellison, 1952	1416943	Mioctenopsylla traubi Holland & Jellison, 1952	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Mioctenopsylla	1416942	Mioctenopsylla traubi	1416943	
1418134	Chiastopsylla nama De Meillon & Hardy, 1951	1418134	Chiastopsylla nama De Meillon & Hardy, 1951	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Chimaeropsyllidae	8847	Chiastopsylla	1418130	Chiastopsylla nama	1418134	
5050751	Ctenophthalmus truncatus Hastriter, 2002	5050751	Ctenophthalmus truncatus Hastriter, 2002	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus truncatus	5050751	
6194096	Leptopsylla aethiopica thalia De Meillon, 1949	6194096	Leptopsylla aethiopica thalia De Meillon, 1949	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Leptopsylla	1417652	Leptopsylla aethiopica	1417672	
6194409	Aviostivalius klossi klossi	6194409	Aviostivalius klossi klossi	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Stivaliidae	5331	Aviostivalius	1419720	Aviostivalius klossi	1419721	
6194463	Synosternus cleopatrae cleopatrae	6194463	Synosternus cleopatrae cleopatrae	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pulicidae	8853	Synosternus	1419519	Synosternus cleopatrae	1419522	
