"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"NMNH580",NA,NA,NA,NA,NA,NA,NA,NA,"Plusaetis sibynus sibynus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Plusaetis",NA,"sibynus","sibynus",NA,NA,"Jordan, 1925",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH581",NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylla gentilis Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ischnopsyllidae","Myodopsylla",NA,"gentilis",NA,NA,NA,"Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH582",NA,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla hesperomys adelpha (Rothschild, 1915)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,"hesperomys","adelpha",NA,NA,"Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH583",NA,NA,NA,NA,NA,NA,NA,NA,"Meringis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Meringis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMNH584",NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla (Actenophthalmus) mexicana (Barrera, 1952)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla","Actenophthalmus","mexicana",NA,NA,NA,"Barrera, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH585",NA,NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus martini Holland, 1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus",NA,"martini",NA,NA,NA,"Holland, 1965",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH586",NA,NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus nudatus hiemalis Eads & Menzies, 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus",NA,"nudatus","hiemalis",NA,NA,"Eads & Menzies, 1948",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH587",NA,NA,NA,NA,NA,NA,NA,NA,"Atyphloceras tancitari Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Atyphloceras",NA,"tancitari",NA,NA,NA,"Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH588",NA,NA,NA,NA,NA,NA,NA,NA,"Corrodopsylla curvata curvata (Rothschild, 1915)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Corrodopsylla",NA,"curvata","curvata",NA,NA,"Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH589",NA,NA,NA,NA,NA,NA,NA,NA,"Corrodopsylla curvata lira Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Corrodopsylla",NA,"curvata","lira",NA,NA,"Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH590",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus (Nearctoctenophthalmus) haagi Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","Nearctoctenophthalmus","haagi",NA,NA,NA,"Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH591",NA,NA,NA,NA,NA,NA,NA,NA,"Epitedia wenmanni (Rothschild, 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Epitedia",NA,"wenmanni",NA,NA,NA,"Rothschild, 1904",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH592",NA,NA,NA,NA,NA,NA,NA,NA,"Meringis altipecten Traub & Hoff, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Meringis",NA,"altipecten",NA,NA,NA,"Traub & Hoff, 1951",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH593",NA,NA,NA,NA,NA,NA,NA,NA,"Meringis arachis (Jordan, 1929)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Meringis",NA,"arachis",NA,NA,NA,"Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH594",NA,NA,NA,NA,NA,NA,NA,NA,"Stenistomera alpina (Baker, 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Stenistomera",NA,"alpina",NA,NA,NA,"Baker, 1895",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH595",NA,NA,NA,NA,NA,NA,NA,NA,"Strepsylla davisae Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla",NA,"davisae",NA,NA,NA,"Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH596",NA,NA,NA,NA,NA,NA,NA,NA,"Strepsylla machadoi Barrera & Traub, 1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla",NA,"machadoi",NA,NA,NA,"Barrera & Traub, 1963",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH597",NA,NA,NA,NA,NA,NA,NA,NA,"Strepsylla mina Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla",NA,"mina",NA,NA,NA,"Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH598",NA,NA,NA,NA,NA,NA,NA,NA,"Strepsylla taluna Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla",NA,"taluna",NA,NA,NA,"Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH599",NA,NA,NA,NA,NA,NA,NA,NA,"Strepsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
