"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYU1272",NA,NA,NA,NA,NA,NA,NA,NA,"Chaetopsylla dogieli Ioff, 1950",NA,NA,NA,NA,NA,1950,NA,NA,NA,NA,"Siphonaptera","Vermipsyllidae","Chaetopsylla",NA,"dogieli",NA,NA,NA,"Ioff, 1950",NA,NA,NA,NA,NA,"Pulicomorpha","Vermipsylloidea  ",NA
"BYU1273",NA,NA,NA,NA,NA,NA,NA,NA,"Callopsylla dolabella Smit & Rosicky, 1976",NA,NA,NA,NA,NA,1976,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Callopsylla",NA,"dolabella",NA,NA,NA,"Smit & Rosicky, 1976",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU1274",NA,NA,NA,NA,NA,NA,NA,NA,"Callopsylla dolabris (Jordan & Rothschild 1911)",NA,NA,NA,NA,NA,1911,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Callopsylla",NA,"dolabris",NA,NA,NA,"(Jordan & Rothschild 1911)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU1275",NA,NA,NA,NA,NA,NA,NA,NA,"Plusaetis dolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Plusaetis",NA,"dolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU1276",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus dolichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"dolichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae"
"BYU1277",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus dolomydis Smit, 1957",NA,NA,NA,NA,NA,1957,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"dolomydis",NA,NA,NA,"Smit, 1957",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae"
"BYU1278",NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla dolomydis Smit, 1957",NA,NA,NA,NA,NA,1957,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"dolomydis",NA,NA,NA,"Smit, 1957",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae"
"BYU1279",NA,NA,NA,NA,NA,NA,NA,NA,"Listropsylla dolosa Rothschild, 1907",NA,NA,NA,NA,NA,1907,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Listropsylla",NA,"dolosa",NA,NA,NA,"Rothschild, 1907",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Listropsyllinae"
"BYU1280",NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus dolosus Dampf, 1912",NA,NA,NA,NA,NA,1912,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Ischnopsyllus",NA,"dolosus",NA,NA,NA,"Dampf, 1912",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae"
"BYU1281",NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus domrowi Traub & Dunnet, 1973",NA,NA,NA,NA,NA,1973,NA,NA,NA,NA,"Siphonaptera","Stephanocircidae","Stephanocircus",NA,"domrowi",NA,NA,NA,"Traub & Dunnet, 1973",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Stephanocircidoidea","Stephanocircinae"
