class,order,family,type.status,distribution,record.status,number,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,canonical
Insecta,Siphonaptera,Pulicidae,NA,Botswana; Kenya; Namibia; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",262,Procaviopsylla,NA,isidis,NA,"Rothschild, 1903,",Procaviopsylla isidis
Insecta,Siphonaptera,Pulicidae,NA,Botswana; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",264,Synosternus,NA,caffer,NA,"Jordan & Rothschild, 1923,",Synosternus caffer
Insecta,Siphonaptera,Pulicidae,NA,Botswana; South Africa; Zimbabwe,"Reviewed, 2011, Submitted by F. Shockley, SI.",266,Xenopsylla,NA,bechuanae,NA,"Demeillon, 1947,",Xenopsylla bechuanae
Insecta,Siphonaptera,Pulicidae,NA,Botswana; Ghana; Kenya; Lesotho; Mozambique; Namibia; Nigeria; South Africa; Tanzania; Uganda; Zaire; Zimbabwe,"Reviewed, 2011, Submitted by F. Shockley, SI.",267,Xenopsylla,NA,brasiliensis,NA,"Baker, 1904,",Xenopsylla brasiliensis
Insecta,Siphonaptera,Pulicidae,NA,Botswana; Kenya; South Africa; Zaire; Zimbabwe,"Reviewed, 2011, Submitted by F. Shockley, SI.",268,Xenopsylla,NA,hipponax,NA,"Demeillon, 1942,",Xenopsylla hipponax
Insecta,Siphonaptera,Pulicidae,NA,Botswana; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",269,Xenopsylla,NA,mulleri,NA,"Demeillon, 1947,",Xenopsylla mulleri
Insecta,Siphonaptera,Pulicidae,NA,Botswana; Kenya; Lesotho; Mozambique; Namibia; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",270,Xenopsylla,NA,philoxera,NA,"Hopkins, 1949,",Xenopsylla philoxera
Insecta,Siphonaptera,Pulicidae,NA,Botswana; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",271,Xenopsylla,NA,phyllomae,NA,"Demeillon, 1934,",Xenopsylla phyllomae
Insecta,Siphonaptera,Pulicidae,NA,Botswana; Namibia; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",272,Xenopsylla,NA,piriei,NA,"Ingram, 1928,",Xenopsylla piriei
Insecta,Siphonaptera,Pulicidae,NA,Botswana; Lesotho; Namibia; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",273,Xenopsylla,NA,scopulifer,NA,"Rothschild, 1905,",Xenopsylla scopulifer
Insecta,Siphonaptera,Pulicidae,NA,Botswana; Namibia; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",274,Xenopsylla,NA,trifaria,NA,"Demeillon, 1930,",Xenopsylla trifaria
Insecta,Siphonaptera,Ischnopsyllidae,NA,Brazil,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",275,Myodopsylla,NA,wolffsohni,wolffsohni,",",Myodopsylla wolffsohni wolffsohni
Insecta,Siphonaptera,Pulicidae,NA,"Brazil; Burma; Canada (Prince Edward Island); Colombia; Egypt; El Salvador; England; Ethiopia; France; Germany; Guatemala; India; Iraq; Jamaica; Japan; Kenya; Korea; Netherlands; Peru; Philippines; Tunisia; Turkey; United States (Alabama, Arkansas, California, District of Columbia, Florida, Georgia, Illinois, Indiana, Kentucky, Maine, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Jersey, North Carolina, North Dakota, Oregon, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, Wisconsin)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",276,Ctenocephalides,NA,canis,NA,",",Ctenocephalides canis
Insecta,Siphonaptera,Rhopalopsyllidae,NA,Brazil,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",277,Polygenis,NA,lakoi,NA,",",Polygenis lakoi
Insecta,Siphonaptera,Hystrichopsyllidae,NA,Brazil; Venezuela,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",278,Adoratopsylla,(Adoratopsylla),bisetosa,NA,"Ewing, 1925,",Adoratopsylla bisetosa
Insecta,Siphonaptera,Hystrichopsyllidae,NA,Brazil; Venezuela,"Reviewed, 2011, Submitted by F. Shockley, SI.",279,Adoratopsylla,(Adoratopsylla),antiquorum,antiquorum,"Rothschild, 1904,",Adoratopsylla antiquorum antiquorum
Insecta,Siphonaptera,Hystrichopsyllidae,NA,Brazil; Venezuela,"Reviewed, 2011, Submitted by F. Shockley, SI.",280,Adoratopsylla,(Tritopsylla),intermedia,intermedia,"Wagner, 1901,",Adoratopsylla intermedia intermedia
Insecta,Siphonaptera,Hystrichopsyllidae,NA,Brazil; Colombia; Panama; Paraguay; Peru; Suriname; Venezuela,"Reviewed, 2011, Submitted by F. Shockley, SI.",281,Adoratopsylla,(Tritopsylla),intermedia,NA,",",Adoratopsylla intermedia
Insecta,Siphonaptera,Rhopalopsyllidae,NA,Brazil; Panama; Trinidad; Venezuela,"Reviewed, 2011, Submitted by F. Shockley, SI.",282,Polygenis,(Polygenis),roberti,NA,",",Polygenis roberti
Insecta,Siphonaptera,Rhopalopsyllidae,NA,Brazil,"Reviewed, 2011, Submitted by F. Shockley, SI.",283,Polygenis,(Polygenis),tripus,NA,"Jordan, 1933,",Polygenis tripus
Insecta,Siphonaptera,Rhopalopsyllidae,NA,Brazil; Colombia; Panama,"Reviewed, 2011, Submitted by F. Shockley, SI.",284,Rhopalopsyllus,NA,australis,tupinus,"Jordan & Rothschild, 1923,",Rhopalopsyllus australis tupinus
Insecta,Siphonaptera,Rhopalopsyllidae,NA,Brazil; Panama; Venezuela,"Reviewed, 2011, Submitted by F. Shockley, SI.",285,Rhopalopsyllus,NA,lugubris,lugubris,"Jordan & Rothschild, 1908,",Rhopalopsyllus lugubris lugubris
Insecta,Siphonaptera,Rhopalopsyllidae,NA,Brazil,"Reviewed, 2011, Submitted by F. Shockley, SI.",286,Rhopalopsyllus,NA,lutzi,lutzi,"Baker, 1904,",Rhopalopsyllus lutzi lutzi
Insecta,Siphonaptera,Pulicidae,NA,Burkina Faso; Cameroon; Egypt; Gambia; Ghana; India; Ivory Coast; Japan; Kenya; Libya; Mauritania; Nigeria; Pakistan; Senegal; Thailand; Togo; United States (Arkansas),"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",288,Xenopsylla,NA,cheopis,NA,"Rothschild, 1903,",Xenopsylla cheopis
Insecta,Siphonaptera,Pulicidae,NA,Burkina Faso; Ghana; Ivory Coast; Kenya; Nigeria; South Africa,"Reviewed, 2011, Submitted by F. Shockley, SI.",289,Xenopsylla,NA,aequisetosa,NA,"Enderlein, 1901,",Xenopsylla aequisetosa
Insecta,Siphonaptera,Leptopsyllidae,NA,Burma,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",290,Acropsylla,NA,girshami,NA,"Traub, 1950,",Acropsylla girshami
Insecta,Siphonaptera,Pulicidae,NA,Burma; Federated States of Micronesia (Caroline Islands); Indonesia; Kenya; Malaysia; Marianas; Nepal; Philippines; Thailand; United States (Guam),"Reviewed, 2011, Submitted by F. Shockley, SI.",291,Ctenocephalides,NA,orientis,NA,"Jordan, 1925,",Ctenocephalides orientis
Insecta,Siphonaptera,Pulicidae,NA,Burma; Egypt; India; Indonesia; Iran; Iraq; Pakistan; Philippines; South Vietnam; Uganda,"Reviewed, 2011, Submitted by F. Shockley, SI.",292,Xenopsylla,NA,astia,NA,"Rothschild, 1911,",Xenopsylla astia
Insecta,Siphonaptera,Stivaliidae,NA,Cambodia; Indonesia; Laos; Malaysia; Thailand; Vietnam,"Reviewed, 2011, Submitted by F. Shockley, SI.",293,Aviostivalius,NA,klossi,NA,",",Aviostivalius klossi
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, Northwest Territories, Ontario, Quebec); United States (Alaska, Colorado, Idaho, Illinois, Maine, Massachusetts, Michigan, Minnesota, Montana, New Hampshire, New Mexico, New York, Oregon, Tennessee, Vermont, Wisconsin, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",294,Ceratophyllus,NA,vison,NA,"Baker, 1904,",Ceratophyllus vison
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Bristish Columbia, Newfoundland and Labrador, Ontario); United States (Maine, Maryland, Michigan, Minnesota, New York, Pennsylvania, South Dakota, Tennessee, Utah, Vermont, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",295,Opisodasys,NA,pseudarctomys,NA,",",Opisodasys pseudarctomys
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Bristish Columbia); United States (California, Montana, Nevada, Oregon, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",296,Opisodasys,NA,vesperalis,NA,",",Opisodasys vesperalis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Bristish Columbia); United States (California, Colorado, Idaho, Montana, Nevada, Oregon, Utah, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",297,Opisodasys,NA,keeni,NA,",",Opisodasys keeni
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, British Columbia, Newfoundland and Labrador, Ontario, Quebec); Mexico; United States (Arizona, Arkansas, California, Colorado, Connecticut, Deleware, District of Columbia, Florida, Georgia, Idaho, Illinois, Iowa, Kansas, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",298,Orchopeas,NA,leucopus,NA,",",Orchopeas leucopus
Insecta,Siphonaptera,Pulicidae,NA,"Canada (Ontario); United States (Alabama, Arkansas, California, Connecticut, Deleware, District of Columbia, Florida, Georgia, Illinois, Iowa, Kansas, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Vermont, Virginia, West Virginia, Wisconsin)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",299,Cediopsylla,NA,simplex,NA,",",Cediopsylla simplex
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Quebec); United States (Massachusetts, Pennsylvania, Utah)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",300,Hystrichopsylla,NA,tahavuana,NA,",",Hystrichopsylla tahavuana
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta); United States (Alaska, Arizona, California, Colorado, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",301,Oropsylla,NA,idahoensis,NA,",",Oropsylla idahoensis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, British Columbia, Saskatchewan); United States (Arizona, California, Colorado, Idaho, Iowa, Kansas, Minnesota, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oregon, South Dakota, Texas, Utah, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",302,Aetheca,NA,wagneri,NA,"Baker, 1904,",Aetheca wagneri
Insecta,Siphonaptera,Ceratophyllidae,NA,Canada (Northwest Territories); United States (Alaska),"Reviewed, 2011, Submitted by F. Shockley, SI.",303,Amalaraeus,NA,dissimilis,dissimilis,"Jordan, 1938,",Amalaraeus dissimilis dissimilis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (California, Colorado, Montana, Nevada, New Mexico, Oregon, Utah)","Reviewed, 2011, Submitted by F. Shockley, SI.",304,Amaradix,NA,euphorbi,NA,"Rothschild, 1905,",Amaradix euphorbi
Insecta,Siphonaptera,Ceratophyllidae,NA,Canada (Yukon Territory),"Reviewed, 2011, Submitted by F. Shockley, SI.",305,Ceratophyllus,(Ceratophyllus),arcuegens,NA,"Holland, 1952,",Ceratophyllus arcuegens
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Ontario); United States (Alaska, Illinois, Maine, Maryland, Massachusetts, Michigan, Minnesota, Oregon, Wisconsin)","Reviewed, 2011, Submitted by F. Shockley, SI.",306,Ceratophyllus,(Ceratophyllus),idius,NA,"Jordan & Rothschild, 1920,",Ceratophyllus idius
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Yukon); United States (Alaska, Minnesota, North Dakota)","Reviewed, 2011, Submitted by F. Shockley, SI.",307,Ceratophyllus,(Ceratophyllus),scopulorum,NA,"Holland, 1952,",Ceratophyllus scopulorum
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Manitoba, Newfoundland and Labrador, Northwest Territories, Quebec)","Reviewed, 2011, Submitted by F. Shockley, SI.",308,Amalaraeus,NA,dissimilis,athabascae,"Holland, 1952,",Amalaraeus dissimilis athabascae
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (Alaska, Arizona, California, Montana, Oregon, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.",309,Ceratophyllus,(Amonopsyllus),ciliatus,protinus,"Jordan, 1929,",Ceratophyllus ciliatus protinus
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia, Quebec); United States (Arkansas, Kansas, Michigan, Montana, New York, South Dakota, Texas)","Reviewed, 2011, Submitted by F. Shockley, SI.",310,Ceratophyllus,(Ceratophyllus),celsus,celsus,"Jordan, 1929,",Ceratophyllus celsus celsus
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (California, Colorado, Montana, Oregon, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",311,Ceratophyllus,(Ceratophyllus),petrochelidoni,NA,"Wagner, 1936,",Ceratophyllus petrochelidoni
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia, New Brunswick, Quebec); United States (Alaska, Arkansas, Illinois, Michigan, Minnesota, Montana, New York, Virginia)","Reviewed, 2011, Submitted by F. Shockley, SI.",312,Ceratophyllus,(Ceratophyllus),styx,riparius,"Jordan & Rothschild, 1920,",Ceratophyllus styx riparius
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (Maine, Massachusetts, Montana, New Hampshire, Virginia, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",313,Ceratophyllus,(Emmareus),diffinis,NA,"Jordan, 1925,",Ceratophyllus diffinis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia, New Brunswick, Northwest Territories, Quebec); Denmark (Iceland); England; Netherlands; United States (Alaska, Idaho, Montana, Utah)","Reviewed, 2011, Submitted by F. Shockley, SI.",314,Ceratophyllus,(Emmareus),garei,NA,"Rothschild, 1902,",Ceratophyllus garei
Insecta,Siphonaptera,Ceratophyllidae,NA,Canada (Nova Scotia); Germany; Hungary; India; Netherlands; Turkey; United States (Ohio),"Reviewed, 2011, Submitted by F. Shockley, SI.",315,Ceratophyllus,(Monopsyllus),sciurorum,sciurorum,"Schrank, 1803,",Ceratophyllus sciurorum sciurorum
Insecta,Siphonaptera,Ceratophyllidae,NA,Canada,"Reviewed, 2011, Submitted by F. Shockley, SI.",316,Ceratophyllus,(Rosickyiana),lunatus,tundrensis,"Holland, 1945,",Ceratophyllus lunatus tundrensis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia, Newfoundland and Labrador, Quebec); United States (Alaska, Maine, Montana, New York, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",317,Orchopeas,NA,caedens,durus,"Jordan, 1929,",Orchopeas caedens durus
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, Saskatchewan); United States (California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",318,Oropsylla,(Opisocrostis),tuberculata,NA,",",Oropsylla tuberculata
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, Saskatchewan); United States (Montana, North Dakota, Oregon, South Dakota, Utah, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",319,Oropsylla,(Oropsylla),rupestris,NA,"Jordan, 1929,",Oropsylla rupestris
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta); United States (California, Montana, Oregon, Utah, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.",321,Amaradix,NA,bitterrootensis,bitterrootensis,"Dunn, 1923,",Amaradix bitterrootensis bitterrootensis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Nova Scotia, Ontario); United States (Alabama, Arizona, Arkansas, California, Connecticut, District of Columbia, Florida, Georgia, Illinois, Iowa, Kansas, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, New Jersey, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, Washington, Wisconsin, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",322,Orchopeas,NA,howardi,NA,",",Orchopeas howardi
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (California, Illinois, Montana, Nevada, New Mexico, Oregon, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",323,Orchopeas,NA,nepos,NA,"Rothschild, 1905,",Orchopeas nepos
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta); United States (Arizona, Colorado, Illinois, Iowa, Minnesota, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin)","Reviewed, 2011, Submitted by F. Shockley, SI.",325,Oropsylla,(Opisocrostis),bruneri,NA,"Baker, 1895,",Oropsylla bruneri
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, Saskatchewan); United States (Colorado, Idaho, Montana, Nevada, North Dakota, Oregon, Utah, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",326,Oropsylla,(Opisocrostis),labis,NA,"Jordan & Rothschild, 1922,",Oropsylla labis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (Colorado, Idaho, Montana, Nevada, North Dakota, Oregon, Utah, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",327,Oropsylla,(Opisocrostis),tuberculata,tuberculata,"Baker, 1904,",Oropsylla tuberculata tuberculata
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, Ontario, Quebec); United States (Alaska, Connecticut, Deleware, Illinois, Iowa, Maine, Massachusetts, Michigan, Minnesota, Montana, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Wisconsin, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",328,Oropsylla,(Oropsylla),arctomys,NA,"Baker, 1904,",Oropsylla arctomys
Insecta,Siphonaptera,Ceratophyllidae,NA,Canada (Britsh Columbia),"Reviewed, 2011, Submitted by F. Shockley, SI.",329,Tarsopsylla,NA,octodecimdentata,coloradensis,"Baker, 1895,",Tarsopsylla octodecimdentata coloradensis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (California, Colorado, Idaho, Montana, Oregon, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",330,Thrassis,NA,acamantis,acamantis,"Rothschild, 1905,",Thrassis acamantis acamantis
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); United States (Alaska, Colorado, Idaho, Montana, Oregon, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",331,Thrassis,NA,acamantis,NA,",",Thrassis acamantis
Insecta,Siphonaptera,Ischnopsyllidae,NA,"Canada (British Columbia, Newfoundland and Labrador, Ontario); United States (Connecticut, District of Columbia, Georgia, Illinois, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Montana, New Jersey, New York, Ohio, Oregon, Pennsylvania, Vermont, Virginia, West Virginia, Wisconsin)","Reviewed, 2011, Submitted by F. Shockley, SI.",332,Myodopsylla,NA,insignis,NA,"Rothschild, 1903,",Myodopsylla insignis
Insecta,Siphonaptera,Leptopsyllidae,NA,Canada (Alberta),"Reviewed, 2011, Submitted by F. Shockley, SI.",333,Ctenophyllus,NA,armatus,NA,",",Ctenophyllus armatus
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (British Columbia); Panama; United States (California, Oregon)","Reviewed, 2011, Submitted by F. Shockley, SI.",334,Dasypsyllus,(Dasypsyllus),gallinulae,perpinnatus,"Baker, 1904,",Dasypsyllus gallinulae perpinnatus
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Yukon); United States (Alabama, Colorado, Idaho, Utah, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",335,Orchopeas,NA,caedens,caedens,"Jordan, 1925,",Orchopeas caedens caedens
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta, British Columbia, Northwest Territories); Cananda (Yukon); United States (Alaska, Arizona, Colorado, Idaho, Kansas, Maine, Michigan, Minnesota, Montana, New Mexico, New York, Oregon, South Dakota, Utah, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",336,Orchopeas,NA,caedens,NA,",",Orchopeas caedens
Insecta,Siphonaptera,Ceratophyllidae,NA,"Canada (Alberta); Mexico; United States (Alabama, Arizona, Arkansas, California, Colorado, Florida, Georgia, Idaho, Kansas, Maryland, Montana, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, South Carolina, Tennessee, Texas, Utah, Virginia, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",337,Orchopeas,NA,sexdentatus,NA,",",Orchopeas sexdentatus
Insecta,Siphonaptera,Leptopsyllidae,NA,"Canada (Quebec); United States (Maine, Massachusetts, New Hampshire, New York, Pennsylvania, West Virginia)","Reviewed, 2011, Submitted by F. Shockley, SI.",338,Peromyscopsylla,NA,catatina,NA,"Jordan, 1928,",Peromyscopsylla catatina
Insecta,Siphonaptera,Leptopsyllidae,NA,"Canada (Alberta, Northwest Territories, Nunavut, Quebec); United States (Maryland, New Hampshire, West Virginia, Wisconsin)","Reviewed, 2011, Submitted by F. Shockley, SI.",339,Peromyscopsylla,NA,hamifer,hamifer,"Rothschild, 1906,",Peromyscopsylla hamifer hamifer
Insecta,Siphonaptera,Ischnopsyllidae,NA,Canada (Azores),"Reviewed, 2011, Submitted by F. Shockley, SI.",340,Ischnopsyllus,(Ischnopsyllus),intermedius,NA,"Rothschild, 1898,",Ischnopsyllus intermedius
Insecta,Siphonaptera,Leptopsyllidae,NA,"Canada (Ontario); United States (California, Maine, New Hampshire, New York, Ohio, Pennsylvania, Tennessee, Vermont, Virginia, West Virginia)","Reviewed, 2011, Submitted by F. Shockley, SI.",341,Peromyscopsylla,NA,hesperomys,hesperomys,"Baker, 1904,",Peromyscopsylla hesperomys hesperomys
Insecta,Siphonaptera,Leptopsyllidae,NA,"Canada (British Columbia); United States (Oregon, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.",342,Peromyscopsylla,NA,hesperomys,pacifica,"Holland, 1949,",Peromyscopsylla hesperomys pacifica
Insecta,Siphonaptera,Leptopsyllidae,NA,"Canada (Alberta, British Columbia, Northwest Territories); United States (California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.",343,Peromyscopsylla,NA,selenis,NA,"Rothschild, 1906,",Peromyscopsylla selenis
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Newfoundland and Labrador, Ontario, Quebec); United States (Maine, New York)","Reviewed, 2011, Submitted by F. Shockley, SI.",344,Nearctopsylla,(Beringopsylla),genalis,genalis,"Baker, 1904,",Nearctopsylla genalis genalis
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Ontario); United States (Iowa, Michigan, Montana)","Reviewed, 2011, Submitted by F. Shockley, SI.",345,Nearctopsylla,(Beringopsylla),genalis,hygini,"Rothschild, 1904,",Nearctopsylla genalis hygini
Insecta,Siphonaptera,Hystrichopsyllidae,NA,Canada (British Columbia); United States (California),"Reviewed, 2011, Submitted by F. Shockley, SI.",346,Nearctopsylla,(Beringopsylla),hyrtaci,NA,"Rothschild, 1904,",Nearctopsylla hyrtaci
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (British Columbia); United States (Alabama, California, Montana, Utah, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",347,Nearctopsylla,(Nearctopsylla),brooksi,NA,"Rothschild, 1904,",Nearctopsylla brooksi
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Saskatchewan); United States (Alabama, California, Colorado, Idaho, Montana, Nevada, North Dakota, Oregon, Utah, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",348,Neopsylla,NA,inopina,NA,"Rothschild, 1915,",Neopsylla inopina
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Alberta); United States (California, Colorado, Montana, North Dakota, Oregon, South Dakota, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",349,Rhadinopsylla,(Actenophthalmus),fraterna,NA,"Baker, 1895,",Rhadinopsylla fraterna
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Ontario, Quebec); United States (Maine, Massachusetts, New York, West Virginia)","Reviewed, 2011, Submitted by F. Shockley, SI.",350,Atyphloceras,NA,bishopi,NA,"Jordan, 1933,",Atyphloceras bishopi
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (British Columbia); United States (California, Oregon, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.",351,Atyphloceras,NA,multidentatus,multidentatus,"Fox, 1909,",Atyphloceras multidentatus multidentatus
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (British Columbia); United States (California, Montana, Oregon, Washington)","Reviewed, 2011, Submitted by F. Shockley, SI.",352,Catallagia,NA,charlottensis,NA,"Baker, 1898,",Catallagia charlottensis
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Alberta, British Columbia); United States (California, Colorado, Idaho, Kansas, Montana, Nebraska, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming)","Reviewed, 2011, Submitted by F. Shockley, SI.",353,Catallagia,NA,decipiens,NA,"Rothschild, 1915,",Catallagia decipiens
Insecta,Siphonaptera,Hystrichopsyllidae,NA,"Canada (Ontario); Mexico; United States (Arkansas, Virginia)","Reviewed, 2011, Submitted by F. Shockley, SI.",354,Ctenophthalmus,(Nearctoctenophthalmus),pseudagyrtes,pseudagyrtes,"Baker, 1904,",Ctenophthalmus pseudagyrtes pseudagyrtes
