"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"GBIF1417888",1417888,NA,1417888,NA,NA,NA,NA,NA,"Dolichopsyllus Baker, 1905","Dolichopsyllus Baker, 1905",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Dolichopsyllus",NA,NA,NA,"GENUS",NA,"Baker, 1905",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418095",1418095,NA,1418095,NA,NA,NA,NA,NA,"Amphipsylla primaris Jordan & Rothschild, 1915","Amphipsylla primaris Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsylla",NA,"primaris",NA,"SPECIES",NA,"Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419375",1419375,NA,1419375,NA,NA,NA,NA,NA,"Xenopsylla nubica (Rothschild, 1903)","Xenopsylla nubica (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"nubica",NA,"SPECIES",NA,"Rothschild, 1903",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF5050704",5050704,NA,5050704,NA,NA,NA,NA,NA,"Ctenophthalmus caucasicus (Taschenberg, 1880)","Ctenophthalmus caucasicus (Taschenberg, 1880)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,"caucasicus",NA,"SPECIES",NA,"Taschenberg, 1880",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416829",1416829,NA,1416829,NA,NA,NA,NA,NA,"Pleochaetis Jordan, 1933","Pleochaetis Jordan, 1933",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Pleochaetis",NA,NA,NA,"GENUS",NA,"Jordan, 1933",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418851",1418851,NA,1418851,NA,NA,NA,NA,NA,"Rhadinopsylla orama Smit, 1957","Rhadinopsylla orama Smit, 1957",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla",NA,"orama",NA,"SPECIES",NA,"Smit, 1957",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419697",1419697,NA,1419697,NA,NA,NA,NA,NA,"Lentistivalius vomerus Traub, 1972","Lentistivalius vomerus Traub, 1972",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Lentistivalius",NA,"vomerus",NA,"SPECIES",NA,"Traub, 1972",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF5050678",5050678,NA,5050678,NA,NA,NA,NA,NA,"Ctenophthalmus gratus menoetius Peus, 1954","Ctenophthalmus gratus menoetius Peus, 1954",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,"gratus","menoetius","SUBSPECIES",NA,"Peus, 1954",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416543",1416543,NA,1416543,NA,NA,NA,NA,NA,"Ectinorus ixanus (Jordan, 1942)","Ectinorus ixanus (Jordan, 1942)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Ectinorus",NA,"ixanus",NA,"SPECIES",NA,"Jordan, 1942",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416584",1416584,NA,1416584,NA,NA,NA,NA,NA,"Tetrapsyllus elutus Johnson, 1957","Tetrapsyllus elutus Johnson, 1957",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Tetrapsyllus",NA,"elutus",NA,"SPECIES",NA,"Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA
