TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonical
CoLxJW,xJW,,,x5G,,,,,Smitipsylla,,,,,,,,,,,,,Smitipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Smitipsylla
CoLxK2,xK2,,,x5G,,,,,Syngenopsyllus,,,,,,,,,,,,,Syngenopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Syngenopsyllus
CoLxJY,xJY,,,x5G,,,,,Spuropsylla,,,,,,,,,,,,,Spuropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Spuropsylla
CoLxK4,xK4,,,x5G,,,,,Tarsopsylla,,,,,,,,,,,,,Tarsopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Tarsopsylla
CoLxGW,xGW,,,x5G,,,,,Amalaraeus,,,,,,,,,,,,,Amalaraeus,,,,GENUS,,,,,ACCEPTED,,,,,,Amalaraeus
CoLxGS,xGS,,,x5G,,,,,Aenigmopsylla,,,,,,,,,,,,,Aenigmopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Aenigmopsylla
CoLxHC,xHC,,,x5G,,,,,Thrassis,,,,,,,,,,,,,Thrassis,,,,GENUS,,,,,ACCEPTED,,,,,,Thrassis
CoLxHE,xHE,,,x5G,,,,,Traubella,,,,,,,,,,,,,Traubella,,,,GENUS,,,,,ACCEPTED,,,,,,Traubella
CoLxHG,xHG,,,x5G,,,,,Dactylopsylla,,,,,,,,,,,,,Dactylopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Dactylopsylla
CoLxHJ,xHJ,,,x5G,,,,,Foxella,,,,,,,,,,,,,Foxella,,,,GENUS,,,,,ACCEPTED,,,,,,Foxella
CoLxH8,xH8,,,x5G,,,,,Oropsylla,,,,,,,,,,,,,Oropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Oropsylla
CoLxHA,xHA,,,x5G,,,,,Paraceras,,,,,,,,,,,,,Paraceras,,,,GENUS,,,,,ACCEPTED,,,,,,Paraceras
CoLxGY,xGY,,,x5G,,,,,Amaradix,,,,,,,,,,,,,Amaradix,,,,GENUS,,,,,ACCEPTED,,,,,,Amaradix
CoLxH2,xH2,,,x5G,,,,,Baculomeris,,,,,,,,,,,,,Baculomeris,,,,GENUS,,,,,ACCEPTED,,,,,,Baculomeris
CoLxH4,xH4,,,x5G,,,,,Brevictenidia,,,,,,,,,,,,,Brevictenidia,,,,GENUS,,,,,ACCEPTED,,,,,,Brevictenidia
CoLxH6,xH6,,,x5G,,,,,Callopsylla,,,,,,,,,,,,,Callopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Callopsylla
CoLxJ2,xJ2,,,x5G,,,,,Kohlsia,,,,,,,,,,,,,Kohlsia,,,,GENUS,,,,,ACCEPTED,,,,,,Kohlsia
CoLxHY,xHY,,,x5G,,,,,Igioffius,,,,,,,,,,,,,Igioffius,,,,GENUS,,,,,ACCEPTED,,,,,,Igioffius
CoLxHU,xHU,,,x5G,,,,,Glaciopsyllus,,,,,,,,,,,,,Glaciopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Glaciopsyllus
CoLxHW,xHW,,,x5G,,,,,Hollandipsylla,,,,,,,,,,,,,Hollandipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Hollandipsylla
CoLxHS,xHS,,,x5G,,,,,Eumolpianus,,,,,,,,,,,,,Eumolpianus,,,,GENUS,,,,,ACCEPTED,,,,,,Eumolpianus
