"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYUSYN97",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus glaphyrus Dampf, 1908","Ceratophyllus gallinae (Schrank 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"glaphyrus",NA,NA,NA,"Dampf, 1908",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN98",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus troglodytes Dampf, 1908","Ceratophyllus hirundinis (Curtis 1826)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"troglodytes",NA,NA,NA,"Dampf, 1908",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN99",NA,NA,NA,NA,NA,NA,NA,NA,"Rangulpsylla Darskaya, 1949","Rhadinopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rangulpsylla",NA,NA,"subgenus",NA,"Darskaya, 1949",NA,NA,NA,"synonym","synonym of subgenus Actenophthalmus",NA,NA,NA
"BYUSYN107",NA,NA,NA,NA,NA,NA,NA,NA,"Parapsyllus huincae Del Ponte & Riesel, 1939","Parapsyllus magellanicus magellanicus Jordan, 1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parapsyllus",NA,"huincae",NA,NA,NA,"Del Ponte & Riesel, 1939",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN108",NA,NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus litargus puelche Del Ponte & Riesel, 1939","Polygenis puelche Del Ponte, 1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus",NA,"litargus","puelche",NA,NA,"Del Ponte & Riesel, 1939",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN102",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis breyeri Del Ponte, 1963","Polygenis byturus (Jordan & Rothschild 1923)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis",NA,"breyeri",NA,NA,NA,"Del Ponte, 1963",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN104",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis fornesi Del Ponte, 1967","Polygenis puelche Del Ponte, 1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis",NA,"fornesi",NA,NA,NA,"Del Ponte, 1967",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN105",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis gardellai Del Ponte, 1967","Polygenis axius axius (Jordan & Rothschild 1923)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis",NA,"gardellai",NA,NA,NA,"Del Ponte, 1967",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN103",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis magellanicus Del Ponte, 1967","Polygenis frustratus Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis",NA,"magellanicus",NA,NA,NA,"Del Ponte, 1967",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN106",NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis oxymycteri Del Ponte, 1967","Polygenis frustratus Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis",NA,"oxymycteri",NA,NA,NA,"Del Ponte, 1967",NA,NA,NA,NA,NA,NA,NA,NA
